CSR	15000	15000	0.02	9.18067
COO	15000	15000	0.02	9.23175
CSR	15000	15000	0.005	8.65085
COO	15000	15000	0.005	8.62539
CSR	15000	15000	0.01	9.03759
COO	15000	15000	0.01	9.03186
CSR	15000	15000	0.02	9.16766
COO	15000	15000	0.02	9.19754
CSR	15000	15000	0.005	8.61448
COO	15000	15000	0.005	8.60177
CSR	15000	15000	0.01	8.89567
COO	15000	15000	0.01	8.88264
CSR	15000	15000	0.02	9.08169
COO	15000	15000	0.02	9.11816
CSR	17000	17000	0.005	11.04216
COO	17000	17000	0.005	11.06717
CSR	17000	17000	0.01	11.33522
COO	17000	17000	0.01	11.30188
CSR	17000	17000	0.02	11.73120
COO	17000	17000	0.02	11.90487
CSR	17000	17000	0.005	11.06046
COO	17000	17000	0.005	11.08390
CSR	17000	17000	0.01	13.07503
COO	17000	17000	0.01	11.32555
CSR	17000	17000	0.02	11.71556
COO	17000	17000	0.02	11.75529
CSR	17000	17000	0.005	11.08578
COO	17000	17000	0.005	11.05463
CSR	17000	17000	0.01	11.44640
COO	17000	17000	0.01	11.47768
CSR	17000	17000	0.02	11.72650
COO	17000	17000	0.02	11.75664
CSR	17000	17000	0.005	11.04669
COO	17000	17000	0.005	11.07041
CSR	17000	17000	0.01	11.27648
COO	17000	17000	0.01	11.31068
CSR	17000	17000	0.02	11.71157
COO	17000	17000	0.02	11.75605
CSR	17000	17000	0.005	11.05634
COO	17000	17000	0.005	11.11394
CSR	17000	17000	0.01	11.27478
COO	17000	17000	0.01	11.51223
CSR	17000	17000	0.02	12.01286
COO	17000	17000	0.02	12.12137
CSR	17000	17000	0.005	11.14026
COO	17000	17000	0.005	11.11523
CSR	17000	17000	0.01	11.26530
COO	17000	17000	0.01	11.34646
CSR	17000	17000	0.02	11.71666
COO	17000	17000	0.02	11.77052
CSR	17000	17000	0.005	11.06988
COO	17000	17000	0.005	11.09229
CSR	17000	17000	0.01	11.30397
COO	17000	17000	0.01	11.33797
CSR	17000	17000	0.02	11.88414
COO	17000	17000	0.02	11.86801
CSR	17000	17000	0.005	11.11274
COO	17000	17000	0.005	11.07487
CSR	17000	17000	0.01	11.29600
COO	17000	17000	0.01	11.36960
CSR	17000	17000	0.02	11.93730
COO	17000	17000	0.02	11.76257
CSR	17000	17000	0.005	11.26915
COO	17000	17000	0.005	11.08147
CSR	17000	17000	0.01	11.29787
COO	17000	17000	0.01	11.30398
CSR	17000	17000	0.02	11.72719
COO	17000	17000	0.02	11.76062
CSR	17000	17000	0.005	11.09116
