parallel	17000	0.015	13.11841
sequential	17000	0.02	33.90925
parallel	17000	0.02	13.19502
sequential	19000	0.005	43.97633
parallel	19000	0.005	15.35166
sequential	19000	0.01	55.63098
parallel	19000	0.01	15.98058
sequential	19000	0.015	42.92176
parallel	19000	0.015	15.66652
sequential	19000	0.02	44.25227
parallel	19000	0.02	16.09195
sequential	19000	0.005	42.79961
parallel	19000	0.005	15.53243
sequential	19000	0.01	42.83055
parallel	19000	0.01	15.93093
sequential	19000	0.015	42.52761
parallel	19000	0.015	15.91782
sequential	19000	0.02	42.81186
parallel	19000	0.02	16.16682
sequential	19000	0.005	43.22000
parallel	19000	0.005	15.91973
sequential	19000	0.01	42.88245
parallel	19000	0.01	16.40038
sequential	19000	0.015	42.69647
parallel	19000	0.015	15.92463
sequential	19000	0.02	43.10958
parallel	19000	0.02	15.79021
sequential	21000	0.005	53.40281
parallel	21000	0.005	20.48045
sequential	21000	0.01	53.55389
parallel	21000	0.01	20.18221
sequential	21000	0.015	52.19686
parallel	21000	0.015	20.36668
sequential	21000	0.02	52.69306
parallel	21000	0.02	20.37597
sequential	21000	0.005	52.71320
parallel	21000	0.005	20.01319
sequential	21000	0.01	52.65948
parallel	21000	0.01	20.43593
sequential	21000	0.015	51.83246
parallel	21000	0.015	20.15572
sequential	21000	0.02	53.10327
parallel	21000	0.02	20.69574
sequential	21000	0.005	51.66813
parallel	21000	0.005	20.19307
sequential	21000	0.01	51.29151
parallel	21000	0.01	20.40302
sequential	21000	0.015	51.74958
parallel	21000	0.015	20.40060
sequential	21000	0.02	52.14683
parallel	21000	0.02	20.30011
sequential	23000	0.005	62.66525
parallel	23000	0.005	24.34495
sequential	23000	0.01	62.88525
parallel	23000	0.01	24.60704
sequential	23000	0.015	63.12352
parallel	23000	0.015	25.00117
sequential	23000	0.02	61.99516
parallel	23000	0.02	24.43330
sequential	23000	0.005	61.80018
parallel	23000	0.005	24.55412
sequential	23000	0.01	63.24776
parallel	23000	0.01	24.25750
sequential	23000	0.015	62.58459
parallel	23000	0.015	24.40547
sequential	23000	0.02	63.43112
parallel	23000	0.02	24.65518
sequential	23000	0.005	62.58366
parallel	23000	0.005	24.43522
sequential	23000	0.01	63.79675
parallel	23000	0.01	24.37390
